Title,Composition,Price,Image,Timestamp,SKU,Link,Polyvinyl Chloride,Elastane,Cotton,Silk,Polyurethane,Metallized Fibres,Polyamide,Polyester,Viscose,Lyocell,Acrylic,Wool,Type
SHEIN LUNE Dual Pocket Asymmetrical Hem Tee,"82% Polyester, 12% Viscose, 6% Elastane",,https://img.ltwebstatic.com/images3_pi/2023/10/23/35/169804165101df20bf2b1fbe5805b39ea0c99de89a_thumbnail_220x293.jpg,2023-11-13 13:32:42.745803,sz2306015295771373,https://us.shein.com/SHEIN-LUNE-Dual-Pocket-Asymmetrical-Hem-Tee-p-25112764-cat-1738.html,0,6,0,0,0,0,0,82,12,0,0,0,Tee
SHEIN Frenchy Batwing Sleeve Button Front Shirt,100% Polyester,,https://img.ltwebstatic.com/images3_pi/2023/10/09/12/1696846071bb5657c1b157e1029e732b1ceda3b6aa_thumbnail_220x293.jpg,2023-11-13 14:26:10.322631,sz2309042020658861,https://us.shein.com/SHEIN-Frenchy-Batwing-Sleeve-Button-Front-Shirt-p-24337233-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Shirt
SHEIN LUNE Color Block Tee,"95% Polyester, 5% Elastane",8.99,https://img.ltwebstatic.com/images3_pi/2023/10/18/6b/16976049820b8d34c3e15812fe74b3104b334d0e13_thumbnail_220x293.jpg,2023-11-13 05:10:07.443068,sz2308213744413026,https://us.shein.com/SHEIN-LUNE-Color-Block-Tee-p-24883682-cat-1738.html,0,5,0,0,0,0,0,95,0,0,0,0,Tee
SHEIN MOD Figure Graphic Square Neck Curved Hem Tee,"94% Polyester, 6% Elastane",5.99,https://img.ltwebstatic.com/images3_pi/2023/10/31/ec/1698720073f7047ffb508e67104f30af7d027b2d10_thumbnail_220x293.jpg,2023-11-13 14:05:12.583793,sw2209232526866285,https://us.shein.com/SHEIN-MOD-Figure-Graphic-Square-Neck-Curved-Hem-Tee-p-25643106-cat-1738.html,0,6,0,0,0,0,0,94,0,0,0,0,Tee
SHEIN Essnce Ruched Heart Cut Out Detail Tee,"93% Polyester, 7% Elastane",6.49,https://img.ltwebstatic.com/images3_pi/2023/10/11/b5/1696989775903aff2b46822efdd8c6767663d873e6_thumbnail_220x293.jpg,2023-11-13 01:37:13.856998,sz2309147500570025,https://us.shein.com/SHEIN-Essnce-Ruched-Heart-Cut-Out-Detail-Tee-p-24441913-cat-1738.html,0,7,0,0,0,0,0,93,0,0,0,0,Tee
SHEIN SXY Contrast Binding Asymmetrical Hem Tank Top,100% Polyester,4.49,https://img.ltwebstatic.com/images3_pi/2023/10/16/21/16974423887cc1d9e30353809e33184df697ac906d_thumbnail_220x293.jpg,2023-11-13 14:53:38.367657,sz2309253800209805,https://us.shein.com/SHEIN-SXY-Contrast-Binding-Asymmetrical-Hem-Tank-Top-p-24760146-cat-1779.html,0,0,0,0,0,0,0,100,0,0,0,0,Top
SHEIN Qutie Slogan & Cartoon Graphic Crop Tee,"92% Polyester, 8% Elastane",5.49,https://img.ltwebstatic.com/images3_pi/2023/10/17/3b/1697508740578e071ae7b901e6832771ea26c1e631_thumbnail_220x293.jpg,2023-11-13 05:15:48.607101,sz2310125357593929,https://us.shein.com/SHEIN-Qutie-Slogan-Cartoon-Graphic-Crop-Tee-p-24758978-cat-1738.html,0,8,0,0,0,0,0,92,0,0,0,0,Tee
SHEIN MOD Solid Asymmetrical Neck Tank Top,"93% Cotton, 7% Elastane",4.99,https://img.ltwebstatic.com/images3_pi/2023/10/30/3c/1698642907d4f04a2af00e003b7a8d83117b6ffb5d_thumbnail_220x293.jpg,2023-11-13 05:51:26.578469,sz2308231161110153,https://us.shein.com/SHEIN-MOD-Solid-Asymmetrical-Neck-Tank-Top-p-24577921-cat-1779.html,0,7,93,0,0,0,0,0,0,0,0,0,Top
SHEIN Frenchy Allover Print Guipure Lace Trim Lantern Sleeve Blouse,100% Polyester,5.39,https://img.ltwebstatic.com/images3_pi/2023/10/12/a2/16970798851492cd89fde2bd41055dbf7955a985c2_thumbnail_220x293.jpg,2023-11-13 00:35:33.384291,sz2309183336002923,https://us.shein.com/SHEIN-Frenchy-Allover-Print-Guipure-Lace-Trim-Lantern-Sleeve-Blouse-p-24504653-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Blouse
Dazy Star Solid Button Front Tie Back Shirt,100% Viscose,17.49,https://img.ltwebstatic.com/images3_pi/2023/10/07/7c/169664192403102a8a6651f90e04a11611836165b1_thumbnail_220x293.jpg,2023-11-13 14:44:59.926761,sz2309182603000030,https://us.shein.com/Dazy-Star-Solid-Button-Front-Tie-Back-Shirt-p-24112107-cat-1733.html,0,0,0,0,0,0,0,0,100,0,0,0,Shirt
ROMWE Hippie Striped & Sun Embroidery Mock Neck Crop Tee,"95% Polyester, 5% Elastane",8.99,https://img.ltwebstatic.com/images3_pi/2023/09/18/96/1695034641d5a8a50c6eb7f0416a2b72ca7f4ff184_thumbnail_220x293.jpg,2023-11-13 01:57:39.941778,rz2308217846886749,https://us.shein.com/ROMWE-Hippie-Striped-Sun-Embroidery-Mock-Neck-Crop-Tee-p-24808793-cat-1738.html,0,5,0,0,0,0,0,95,0,0,0,0,Tee
SHEIN Qutie Floral & Slogan Graphic Drop Shoulder Tee,"66% Polyester, 29% Viscose, 5% Elastane",8.49,https://img.ltwebstatic.com/images3_pi/2023/10/17/5a/1697510092397698e5f00a839b7668be243814b4f9_thumbnail_220x293.jpg,2023-11-13 13:40:31.715696,sz2310135136333433,https://us.shein.com/SHEIN-Qutie-Floral-Slogan-Graphic-Drop-Shoulder-Tee-p-24758996-cat-1738.html,0,5,0,0,0,0,0,66,29,0,0,0,Tee
SHEIN ICON Cold Shoulder Ruffle Trim Flounce Sleeve Lace Top,"90% Polyamide, 10% Elastane",12.99,https://img.ltwebstatic.com/images3_pi/2023/10/23/ea/16980486366f8e0785b6df3b6d6f40bde69c4b355f_thumbnail_220x293.jpg,2023-11-13 14:25:34.598691,sz2309075300061544,https://us.shein.com/SHEIN-ICON-Cold-Shoulder-Ruffle-Trim-Flounce-Sleeve-Lace-Top-p-25161482-cat-2223.html,0,10,0,0,0,0,90,0,0,0,0,0,Top
SHEIN Clasi Stand Neck Button Front Blouse,100% Polyester,12.99,https://img.ltwebstatic.com/images3_pi/2023/10/10/6d/169691489085c7fb661789a1cf8d73159a7cd40c38_thumbnail_220x293.jpg,2023-11-13 05:58:04.354247,sz2309042314166404,https://us.shein.com/SHEIN-Clasi-Stand-Neck-Button-Front-Blouse-p-24360777-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Blouse
SHEIN Essnce Solid Lettuce Trim Drop Shoulder Tee,"97% Polyester, 3% Elastane, 97% Polyester, 3% Elastane",13.99,https://img.ltwebstatic.com/images3_pi/2023/10/13/75/16972082213df8a40ad04f146d8723a708dbef5a4e_thumbnail_220x293.jpg,2023-11-13 01:04:59.722355,sz2308252382152200,https://us.shein.com/SHEIN-Essnce-Solid-Lettuce-Trim-Drop-Shoulder-Tee-p-24576263-cat-1738.html,0,3,0,0,0,0,0,97,0,0,0,0,Tee
Solid Round Neck Tee,"95% Polyester, 5% Elastane",5.99,https://img.ltwebstatic.com/images3_pi/2023/10/16/aa/1697424233272e11e235d418f8da1338c1d620d1eb_thumbnail_220x293.jpg,2023-11-13 00:47:17.261538,sz2310085519555454,https://us.shein.com/Solid-Round-Neck-Tee-p-24618678-cat-1738.html,0,5,0,0,0,0,0,95,0,0,0,0,Tee
SHEIN Privé Solid Lettuce Trim Tank Top,"95% Polyamide, 5% Elastane",3.49,https://img.ltwebstatic.com/images3_pi/2023/10/13/9e/1697183964ac5be269f5d0ad8bfe9ca0f22326f89c_thumbnail_220x293.jpg,2023-11-13 13:37:37.151410,sw2301046222835588,https://us.shein.com/SHEIN-Priv-Solid-Lettuce-Trim-Tank-Top-p-24594523-cat-1779.html,0,5,0,0,0,0,95,0,0,0,0,0,Top
SHEIN Privé Sequin Tank Top,100% Polyester,7.49,https://img.ltwebstatic.com/images3_pi/2023/10/11/dc/16970334786daec4b0fd29811e15aaa4b29f5ec1bd_thumbnail_220x293.jpg,2023-11-13 06:03:22.480318,sz2309019478688982,https://us.shein.com/SHEIN-Priv-Sequin-Tank-Top-p-24482945-cat-1779.html,0,0,0,0,0,0,0,100,0,0,0,0,Top
SHEIN MOD Lace Up Front Tank Top,"90% Polyester, 10% Elastane",9.99,https://img.ltwebstatic.com/images3_pi/2023/11/02/8b/1698908590610da3e67eab3e9a7803c1eecc0132ab_thumbnail_220x293.jpg,2023-11-13 13:16:33.807245,sw2209235559599969,https://us.shein.com/SHEIN-MOD-Lace-Up-Front-Tank-Top-p-25809034-cat-1779.html,0,10,0,0,0,0,0,90,0,0,0,0,Top
SHEIN Privé Mock Neck Lace Crop Top Without Tube Top,100% Polyamide,12.99,https://img.ltwebstatic.com/images3_pi/2023/10/16/a9/16974333399e4471fe91896e1496682a83191c47d8_thumbnail_220x293.jpg,2023-11-13 13:25:01.499897,sz2309052410420037,https://us.shein.com/SHEIN-Priv-Mock-Neck-Lace-Crop-Top-Without-Tube-Top-p-24641370-cat-2223.html,0,0,0,0,0,0,100,0,0,0,0,0,Top
SHEIN Clasi Solid Puff Sleeve Blouse,100% Polyester,7.99,https://img.ltwebstatic.com/images3_pi/2023/10/14/0e/1697262429b7aa474fa64e77ccaccfd4e2a1bfb02c_thumbnail_220x293.jpg,2023-11-13 13:42:14.473979,sz2305193443107270,https://us.shein.com/SHEIN-Clasi-Solid-Puff-Sleeve-Blouse-p-24633271-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Blouse
SHEIN Privé Contrast Collar Flare Sleeve Sheer Shirt Without Bra,100% Polyester,12.49,https://img.ltwebstatic.com/images3_pi/2023/10/10/55/1696926726670e66fb17d425b9c9303c7835e6de7b_thumbnail_220x293.jpg,2023-11-13 06:11:52.535935,sz2308104184094784,https://us.shein.com/SHEIN-Priv-Contrast-Collar-Flare-Sleeve-Sheer-Shirt-Without-Bra-p-24415625-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Bra
SHEIN Essnce Solid V-neck Cap Batwing Sleeve Blouse,100% Polyester,6.99,https://img.ltwebstatic.com/images3_pi/2023/10/23/82/1698025513aba48409bad24d663b37ac7d33e3ca82_thumbnail_220x293.jpg,2023-11-13 05:32:19.504781,sz2309066993690869,https://us.shein.com/SHEIN-Essnce-Solid-V-neck-Cap-Batwing-Sleeve-Blouse-p-25109597-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Blouse
SHEIN ICON Contrast Binding Lace Cami Top,"87% Polyamide, 13% Elastane",6.99,https://img.ltwebstatic.com/images3_pi/2023/10/31/bb/1698724033afdd0411451cea5309c03c57234cc4f1_thumbnail_220x293.jpg,2023-11-13 04:47:32.650109,sz2308245266888508,https://us.shein.com/SHEIN-ICON-Contrast-Binding-Lace-Cami-Top-p-24501535-cat-1779.html,0,13,0,0,0,0,87,0,0,0,0,0,Top
DAZY Letter Graphic Drop Shoulder Oversized Tee,100% Cotton,9.99,https://img.ltwebstatic.com/images3_pi/2023/10/09/7a/16968455818cdb77430702d53be834cf77646ac698_thumbnail_220x293.jpg,2023-11-13 14:03:59.983851,sz2308040651040506,https://us.shein.com/DAZY-Letter-Graphic-Drop-Shoulder-Oversized-Tee-p-24337745-cat-1738.html,0,0,100,0,0,0,0,0,0,0,0,0,Tee
EMERY ROSE Floral Print Half Button Roll Tab Sleeve Blouse,100% Polyester,,https://img.ltwebstatic.com/images3_pi/2023/10/08/ff/169672883565b526dd20418aca344b7caca50be561_thumbnail_220x293.jpg,2023-11-13 14:21:25.449703,sz2309123930882317,https://us.shein.com/EMERY-ROSE-Floral-Print-Half-Button-Roll-Tab-Sleeve-Blouse-p-24172530-cat-1733.html,0,0,0,0,0,0,0,100,0,0,0,0,Blouse
SHEIN ICON Solid Crop Halter Top,"95% Polyester, 5% Elastane",3.49,https://img.ltwebstatic.com/images3_pi/2023/10/17/f8/1697527984cf8e2a139e0ab9ab2bab764300528d3c_thumbnail_220x293.jpg,2023-11-13 05:33:22.994113,sw2204086159767649,https://us.shein.com/SHEIN-ICON-Solid-Crop-Halter-Top-p-24751164-cat-1779.html,0,5,0,0,0,0,0,95,0,0,0,0,Top
SHEIN MOD Figure Graphic Asymmetrical Hem Crop Tube Top,"95% Polyester, 5% Elastane",4.99,https://img.ltwebstatic.com/images3_pi/2023/10/27/83/1698385369e634d42adefc9274b6903b13d52bf040_thumbnail_220x293.jpg,2023-11-13 06:10:44.763665,sz2309043428450008,https://us.shein.com/SHEIN-MOD-Figure-Graphic-Asymmetrical-Hem-Crop-Tube-Top-p-25434324-cat-2223.html,0,5,0,0,0,0,0,95,0,0,0,0,Top
SHEIN ICON Rhinestone Trim Cut Out Front Halter Top,"95% Polyester, 5% Elastane",6.99,https://img.ltwebstatic.com/images3_pi/2023/10/18/c1/169761030662a0ab55d9b8d325ebbc23cf8007ee85_thumbnail_220x293.jpg,2023-11-13 02:07:44.687516,sz2309048727310733,https://us.shein.com/SHEIN-ICON-Rhinestone-Trim-Cut-Out-Front-Halter-Top-p-24829710-cat-1779.html,0,5,0,0,0,0,0,95,0,0,0,0,Top
Contrast Sequin Contrast Lace Tee,"95% Polyester, 5% Elastane",9.49,https://img.ltwebstatic.com/images3_pi/2023/10/17/6b/1697507983a7db5b77bd92d1b78b1c44c8afefd093_thumbnail_220x293.jpg,2023-11-13 06:24:39.463830,sz2309214755934038,https://us.shein.com/Contrast-Sequin-Contrast-Lace-Tee-p-24739873-cat-1738.html,0,5,0,0,0,0,0,95,0,0,0,0,Tee
SHEIN LUNE Striped Print Drop Shoulder Tee,"95% Polyester, 5% Elastane",7.49,https://img.ltwebstatic.com/images3_pi/2023/10/08/14/169673066879479cffb09e1cc2c52a6a5e344c1e78_thumbnail_220x293.jpg,2023-11-13 13:23:01.458409,sz2309070052077480,https://us.shein.com/SHEIN-LUNE-Striped-Print-Drop-Shoulder-Tee-p-24198346-cat-1738.html,0,5,0,0,0,0,0,95,0,0,0,0,Tee
Dazy Star Solid Flare Sleeve Tee,"97% Polyester, 3% Elastane",12.99,https://img.ltwebstatic.com/images3_pi/2023/10/17/5e/1697508498e5487d30df4e5ce8463833589ddca3da_thumbnail_220x293.jpg,2023-11-13 00:41:19.472244,sz2309072151722362,https://us.shein.com/Dazy-Star-Solid-Flare-Sleeve-Tee-p-24739765-cat-1738.html,0,3,0,0,0,0,0,97,0,0,0,0,Tee
SHEIN Frenchy Two Tone Cut Out Mock Neck Tee,100% Polyester,7.99,https://img.ltwebstatic.com/images3_pi/2023/10/24/2d/16981252317023cae496358507072c1adeac89419a_thumbnail_220x293.jpg,2023-11-13 01:14:18.654038,sz2309187933763587,https://us.shein.com/SHEIN-Frenchy-Two-Tone-Cut-Out-Mock-Neck-Tee-p-25332893-cat-1738.html,0,0,0,0,0,0,0,100,0,0,0,0,Tee
DAZY Kpop Half Button Ribbed Knit Tee,"68% Polyester, 28% Viscose, 4% Elastane",10.49,https://img.ltwebstatic.com/images3_pi/2023/10/16/61/169742007035fdb58aaac2191cbc36f1aa36e45267_thumbnail_220x293.jpg,2023-11-13 13:40:54.820916,sz2309180151053678,https://us.shein.com/DAZY-Kpop-Half-Button-Ribbed-Knit-Tee-p-24654351-cat-1738.html,0,4,0,0,0,0,0,68,28,0,0,0,Tee
SHEIN LUNE Contrast Lace Lantern Sleeve Ribbed Knit Tee,"60% Polyester, 35% Viscose, 5% Elastane",8.99,https://img.ltwebstatic.com/images3_pi/2023/10/30/01/16986367024808474b955c96cb812859c5d29e835a_thumbnail_220x293.jpg,2023-11-13 04:55:44.626476,sz2310123229070772,https://us.shein.com/SHEIN-LUNE-Contrast-Lace-Lantern-Sleeve-Ribbed-Knit-Tee-p-25548947-cat-1738.html,0,5,0,0,0,0,0,60,35,0,0,0,Tee
SHEIN Coolane Heart Print Tank Top,"62% Polyester, 33% Viscose, 5% Elastane",4.99,https://img.ltwebstatic.com/images3_pi/2023/10/19/63/16977012318becd573a4aff95057eef6a527f40c8a_thumbnail_220x293.jpg,2023-11-13 05:27:04.867529,sz2308319447402989,https://us.shein.com/SHEIN-Coolane-Heart-Print-Tank-Top-p-24922542-cat-1779.html,0,5,0,0,0,0,0,62,33,0,0,0,Top
SHEIN Lady Leopard & Floral Print Tee,"91% Polyester, 9% Elastane",8.49,https://img.ltwebstatic.com/images3_pi/2023/10/17/28/16975252733a71a4a66cb344c3dff505cd44a2e3af_thumbnail_220x293.jpg,2023-11-13 14:00:08.685002,sz2308249995440305,https://us.shein.com/SHEIN-Lady-Leopard-Floral-Print-Tee-p-24747092-cat-1738.html,0,9,0,0,0,0,0,91,0,0,0,0,Tee
SHEIN Qutie Letter Graphic Bow Front Cami Top,"94% Polyester, 6% Elastane",4.99,https://img.ltwebstatic.com/images3_pi/2023/10/27/3e/1698406742c5b53bd49f3fea37e2173bd33b575b57_thumbnail_220x293.jpg,2023-11-13 00:39:20.447334,sz2309285911336793,https://us.shein.com/SHEIN-Qutie-Letter-Graphic-Bow-Front-Cami-Top-p-25490345-cat-1779.html,0,6,0,0,0,0,0,94,0,0,0,0,Top
SHEIN Coolane Figure & Slogan Graphic Drop Shoulder Tee,"62% Polyester, 34% Cotton, 4% Elastane",9.49,https://img.ltwebstatic.com/images3_pi/2023/10/24/86/1698115121098a157d909b6e250b5a7b06ecd49559_thumbnail_220x293.jpg,2023-11-13 04:44:15.367098,sw2209231111323443,https://us.shein.com/SHEIN-Coolane-Figure-Slogan-Graphic-Drop-Shoulder-Tee-p-25199341-cat-1738.html,0,4,34,0,0,0,0,62,0,0,0,0,Tee
ThisUniqueVibe Mushroom Print Contrast Lace Trim Cami Top,"95% Polyester, 5% Elastane",5.49,https://img.ltwebstatic.com/images3_pi/2023/10/08/71/169673465427cc8d76f73d14845e028ead9b03c659_thumbnail_220x293.jpg,2023-11-13 01:59:20.755219,rz2308302813577018,https://us.shein.com/ThisUniqueVibe-Mushroom-Print-Contrast-Lace-Trim-Cami-Top-p-25415967-cat-1779.html,0,5,0,0,0,0,0,95,0,0,0,0,Top
Floral Print Half Zip Tee,100% Polyester,,https://img.ltwebstatic.com/images3_pi/2023/09/30/50/1696003236249edc6412acd085b296c458a0165bf2_thumbnail_220x293.jpg,2023-11-13 13:22:49.754203,sz2309240605384881,https://us.shein.com/Floral-Print-Half-Zip-Tee-p-24015340-cat-1738.html,0,0,0,0,0,0,0,100,0,0,0,0,Tee
HARRY POTTER X SHEIN Letter Graphic Cold Shoulder Tee,100% Cotton,14.49,https://img.ltwebstatic.com/images3_pi/2023/09/21/96/16952752629cfcc0e08b9531eeb6adce97096b93e5_thumbnail_220x293.jpg,2023-11-13 02:00:22.065722,sz2303065595258835,https://us.shein.com/HARRY-POTTER-X-SHEIN-Letter-Graphic-Cold-Shoulder-Tee-p-22136336-cat-1738.html,0,0,100,0,0,0,0,0,0,0,0,0,Tee
DAZY Kpop Plaid Print Round Neck Tee,"98% Polyester, 2% Elastane",7.49,https://img.ltwebstatic.com/images3_pi/2023/09/27/1c/169579242098dc190da430346e5876ca76f4dc02a4_thumbnail_220x293.jpg,2023-11-13 00:51:13.649834,sz2308253947278871,https://us.shein.com/DAZY-Kpop-Plaid-Print-Round-Neck-Tee-p-23794561-cat-1738.html,0,2,0,0,0,0,0,98,0,0,0,0,Tee
DAZY Letter Graphic Raglan Sleeve Tee,"62% Polyester, 33% Cotton, 5% Elastane",11.99,https://img.ltwebstatic.com/images3_pi/2023/10/07/29/169664655816b007debfc2c3fccf21bf7632ec3323_thumbnail_220x293.jpg,2023-11-13 04:48:50.338016,sz2308220577845033,https://us.shein.com/DAZY-Letter-Graphic-Raglan-Sleeve-Tee-p-24096738-cat-1738.html,0,5,33,0,0,0,0,62,0,0,0,0,Tee
Goth Skull & Floral Print Flare Sleeve Tee,"95% Polyester, 5% Elastane",9.99,https://img.ltwebstatic.com/images3_pi/2023/10/16/fb/169742669898aa50a559901765ea5744814fd430e0_thumbnail_220x293.jpg,2023-11-13 01:22:31.144986,rz2309141174171341,https://us.shein.com/Goth-Skull-Floral-Print-Flare-Sleeve-Tee-p-25538791-cat-1738.html,0,5,0,0,0,0,0,95,0,0,0,0,Tee
SHEIN ICON Draped Front Drawstring Side Backless Metallic Halter Top,"95% Polyester, 5% Elastane",5.99,https://img.ltwebstatic.com/images3_pi/2023/10/10/94/1696901762522b6c95d33b5d30a83ec7b1074eff55_thumbnail_220x293.jpg,2023-11-13 14:48:08.457793,sz2305233532114977,https://us.shein.com/SHEIN-ICON-Draped-Front-Drawstring-Side-Backless-Metallic-Halter-Top-p-24350438-cat-1779.html,0,5,0,0,0,0,0,95,0,0,0,0,Top
